date,water_level,volume,TDS,K,Na,Mg,Ca,SO4,Cl,HCO3,CO3,density
8/15/1994,1277.76,33.32,158.1,,,,,,,,,
9/15/1994,1277.56,32.18,165.6,,,,,,,,,
10/15/1994,1277.44,31.61,172.3,,,,,,,,,
11/15/1994,1277.42,31.61,177.7,,,,,,,,,
12/15/1994,1277.51,32.18,171.9,,,,,,,,,
1/15/1995,1277.59,32.18,166.5,,,,,,,,,
2/15/1995,1277.69,32.75,167.8,,,,,,,,,
3/15/1995,1277.82,33.9,167.8,,,,,,,,,
4/15/1995,1277.92,34.47,163.3,,,,,,,,,
5/15/1995,1278.23,34.47,156.4,,,,,,,,,
6/15/1995,1278.39,34.47,152.8,,,,,,,,,
7/15/1995,1278.29,34.47,156.9,,,,,,,,,
8/15/1995,1278.14,34.47,162.6,,,,,,,,,
9/15/1995,1277.95,34.47,167,,,,,,,,,
10/15/1995,1277.71,33.32,174.2,,,,,,,,,
11/15/1995,1277.73,33.32,178.1,,,,,,,,,
12/15/1995,1277.69,32.75,178.1,,,,,,,,,
1/15/1995,1277.71,33.32,178.4,,,,,,,,,
2/15/1995,1277.75,33.32,178.9,,,,,,,,,
4/15/1996,1277.9,33.9,162.6,,,,,,,,,
5/15/1996,1278.17,34.47,152.6,,,,,,,,,
6/15/1996,1278.24,34.47,156,,,,,,,,,
7/15/1996,1278.06,34.47,167.8,,,,,,,,,
8/15/1996,1277.85,33.9,170.2,,,,,,,,,
9/15/1996,1277.66,32.75,172.5,,,,,,,,,
10/15/1996,1277.5,31.61,182.2,,,,,,,,,
12/15/1996,1277.38,31.04,188.1,,,,,,,,,
1/15/1997,1277.39,31.04,180.5,,,,,,,,,
2/15/1997,1277.39,31.04,186.4,,,,,,,,,
3/15/1997,1277.4,31.04,188.8,,,,,,,,,
4/15/1997,1277.49,31.61,185.4,,,,,,,,,
11/15/1997,1277.06,29.33,199.4,,,,,,,,,
12/15/1997,1277.07,29.33,195,,,,,,,,,
1/15/1998,1277.04,29.33,202.4,,,,,,,,,
2/15/1998,1277.07,29.33,195.1,,,,,,,,,
3/15/1998,1277.12,29.9,193.8,,,,,,,,,
4/15/1998,1277.27,30.47,185.3,,,,,,,,,
5/15/1998,1277.58,32.18,168.2,,,,,,,,,
6/15/1998,1277.62,32.75,173.2,,,,,,,,,
7/15/1998,1277.43,31.61,176.9,,,,,,,,,
8/15/1998,1277.23,30.47,182.3,,,,,,,,,
9/15/1998,1277.07,29.33,187.2,,,,,,,,,
10/15/1998,1276.79,27.69,196.4,,,,,,,,,
12/15/1998,1276.51,26.62,210.2,,,,,,,,,
1/15/1999,1276.49,26.09,209.5,,,,,,,,,
2/15/1999,1276.51,26.62,210,,,,,,,,,
3/15/1999,1276.52,26.62,209.8,,,,,,,,,
4/15/1999,1276.51,26.62,185.3,,,,,,,,,
5/15/1999,1276.49,26.09,168.2,,,,,,,,,
6/15/1999,1276.39,25.57,173.2,,,,,,,,,
7/15/1999,1276.2,24.53,176.9,,,,,,,,,
8/15/1999,1276.05,24.01,182.3,,,,,,,,,
9/15/1999,1275.9,22.99,187.2,,,,,,,,,
10/15/1999,1275.73,22.49,196.4,,,,,,,,,
12/15/1999,1275.59,21.5,210.2,,,,,,,,,
1/15/2000,1275.57,21.5,209.5,,,,,,,,,
2/15/2000,1275.56,21.5,210,,,,,,,,,
3/15/2000,1275.57,21.5,209.8,,,,,,,,,
9/15/2000,1274.8,17.7,243.6,,,,,,,,,
10/15/2000,1274.69,17.24,248.8,,,,,,,,,
11/15/2000,1274.61,17.24,252.2,,,,,,,,,
12/15/2000,1274.58,16.79,252.6,,,,,,,,,
1/15/2001,1274.57,16.79,258.6,,,,,,,,,
2/15/2001,1274.56,16.79,265.5,,,,,,,,,
3/15/2001,1274.58,16.79,255.6,,,,,,,,,
