water level,TDS,Na,Mg,Cl,SO4
1270.04,395.1233333333333,49.95666666666667,48.24333333333334,76.43,22.72666666666667
1270.24,397.4266666666667,47.673333333333325,50.830000000000005,77.46,21.566666666666666
1270.37,333.34000000000003,,,,
1270.39,355.7883333333333,53.05333333333334,45.185,81.52166666666668,15.769166666666667
1270.41,385.54999999999995,46.98333333333333,51.27,80.74666666666667,18.203333333333337
1270.44,325.44,52.02,45.92,,
1270.47,390.48799999999994,46.712,51.54999999999999,78.928,20.072
1270.48,387.884,47.758,50.465999999999994,79.494,19.605999999999998
1270.5,360.5425,49.8725,48.25999999999999,82.8675,16.2775
1270.53,360.46500000000003,50.225,48.28,82.215,16.85
1270.55,378.43333333333334,49.72555555555556,48.824444444444445,78.88666666666667,20.26
1270.56,351.12,49.9,48.185,83.75,15.445
1270.58,364.395,50.519749999999995,47.803,83.04249999999999,16.162
1270.59,358.492,49.344,48.722,84.06,15.125000000000002
1270.62,361.80150000000003,50.5205,47.97,81.7875,17.4755
1270.63,372.30649999999997,49.74205555555556,48.675999999999995,81.57566666666666,17.645777777777777
1270.64,360.746,51.246,47.232,82.304,16.887999999999998
1270.65,391.748,49.312,49.501999999999995,83.13,16.136
1270.69,368.97799999999995,47.367999999999995,50.81,80.984,18.088
1270.7,387.81800000000004,48.152,50.455999999999996,79.45599999999999,19.704
1270.71,377.176,48.626,49.934000000000005,80.376,18.844
1270.73,402.7966666666666,49.77333333333333,48.88666666666666,79.03,20.189999999999998
1270.76,394.925,47.41,51.29,79.52,19.65
1270.77,395.65999999999997,48.926,50.001999999999995,82.674,16.564
1270.85,358.18600000000004,60.022999999999996,38.086999999999996,85.743,13.5955
1270.89,339.04499999999996,58.42,39.72,85.59,13.66
1270.91,389.332,51.507999999999996,47.098,79.974,19.351999999999997
1270.93,366.5,57.992999999999995,40.618,85.892,13.462
1270.99,383.4546666666667,49.29266666666666,49.604000000000006,83.44733333333333,15.991999999999999
1271.0,386.744,49.571999999999996,49.304,83.572,15.838
1271.01,379.179,50.657000000000004,47.887,80.684,18.714
1271.02,375.962,49.222,49.608,83.70200000000001,15.752
1271.03,368.29599999999994,54.668000000000006,44.227999999999994,86.494,12.95
1271.05,388.52250000000004,50.38250000000001,48.3625,84.515,14.89
1271.06,355.45675,57.2,41.18575,85.4245,14.0
1271.1,358.102,59.54475000000001,38.94925,85.11,14.3265
1271.13,386.22799999999995,50.054,48.778,84.45,14.888
1271.18,386.008,63.89,34.284,86.47800000000001,13.056000000000001
1271.25,378.019,61.99600000000001,36.141000000000005,84.64099999999999,14.891
1271.27,384.37,49.048,49.846,83.38199999999999,16.032
1271.28,380.18199999999996,65.066,33.071999999999996,84.91600000000001,14.602
1271.3,381.876,49.458000000000006,49.372,84.712,14.728
1271.31,369.96999999999997,50.239999999999995,48.593999999999994,84.008,15.324000000000002
1271.36,376.416,65.218,32.916,85.084,14.471999999999998
1271.39,383.16200000000003,66.258,32.12,86.752,12.856
1271.42,377.392,58.194,39.908,86.46000000000001,13.060000000000002
1271.44,374.83000000000004,70.378,28.038,87.97999999999999,11.600000000000001
1271.52,356.58599999999996,60.202,37.839999999999996,88.62800000000001,10.937999999999999
1271.55,374.404,66.07399999999998,32.379999999999995,86.22999999999999,13.408000000000001
1271.57,382.38475,65.244911989375,32.92661800375,85.3451161753125,14.2815369453125
1271.63,365.218,71.8,26.944,89.74199999999999,9.954
1271.65,374.052,67.976,30.202000000000005,87.4,12.286000000000001
1271.67,373.106,58.23600000000001,39.86,85.738,13.784
1271.7,390.9745,67.40406769,30.985419480000004,87.26214015687499,12.46904044125
1271.73,373.23,58.36,39.738,87.564,12.0
1271.74,335.47,67.28399999999999,31.355999999999995,88.534,11.156
1271.76,391.625,67.92367551125,29.749346048750002,88.066336645,11.758601429999999
1271.78,365.91400000000004,68.42800000000001,29.932,87.164,12.464
1271.88,355.008,66.204,32.028,90.608,9.059999999999999
1271.93,368.8175,70.79580307625,27.794297130625,88.61612093125001,11.123406418125
1272.1,362.684,73.60999999999999,24.901999999999997,90.06800000000001,9.684
1272.16,367.554,72.98800000000001,25.477999999999998,89.576,10.168
1272.17,365.718,67.104,31.259999999999998,87.25,12.398
1272.18,363.242,67.21000000000001,31.110000000000003,87.396,12.234
1272.19,360.24249999999995,71.88000000000001,26.7455,90.072,9.638
1272.2,363.14,72.716,26.122000000000003,90.132,9.606
1272.22,363.21,72.364,26.284000000000002,89.7,10.048
1272.27,382.49399999999997,74.832,23.762,89.212,10.540000000000001
1272.3,364.28599999999994,75.57,23.122,90.696,9.07
1272.5,379.60800000000006,76.30199999999999,22.528,90.424,9.341999999999999
1272.57,368.536,77.35,21.444,91.16600000000001,8.624
1272.599999999999,380.125,83.92316924145835,14.60031939375,92.56384535104165,7.091261323395834
1272.61,357.36199999999997,73.478,25.165999999999997,91.28599999999999,8.457999999999998
1272.62,358.481,79.74,19.075,92.819,6.984
1272.65,356.1,81.51199999999999,17.316000000000003,92.69999999999999,7.12
1272.69,370.13199999999995,81.248,17.6,91.998,7.818
1272.7,360.539,76.528,22.104,92.251,7.520999999999999
1272.79,360.87199999999996,81.856,16.942,88.874,10.962
1272.84,361.935,81.2425,17.5375,94.46000000000001,5.362500000000001
1272.87,350.398,79.94399999999999,18.860000000000003,94.03,5.7700000000000005
1272.89,367.262,82.3,16.602,92.186,7.653999999999999
1272.92,359.98400000000004,82.076,16.752000000000002,92.41799999999999,7.38
1272.93,368.56399999999996,81.82000000000001,16.962,93.578,6.258
1272.97,370.826,82.748,16.174,93.09,6.748
1272.99,352.698,80.204,18.538000000000004,93.66799999999999,6.14
1273.01,353.04,82.458,16.45,92.754,7.081999999999999
1273.07,351.628,81.23400000000001,17.594,93.474,6.351999999999999
1273.08,361.69000000000005,83.106,16.387999999999998,92.906,6.936
1273.11,353.85,81.651,17.109,94.59299999999999,5.254
1273.19,347.491,82.73100000000001,16.134,,10.675999999999998
1273.2,346.616,83.0,15.916,91.136,8.708000000000002
1273.21,353.402,83.09200000000001,15.608,93.53800000000001,6.318
1273.25,364.648,81.78200000000001,17.008000000000003,92.422,7.422
1273.26,311.2,,,,
1273.27,303.0,,,,
1273.28,305.0,,,,
1273.29,311.6,,,,
1273.3,319.64750000000004,83.75750000000001,15.1,92.585,7.26
1273.32,343.762,83.84400000000001,14.935999999999998,91.914,7.94
1273.35,298.05,85.54427767,12.43833463,93.39920881,6.5013174760000005
1273.37,308.3,,,,
1273.38,338.294,83.364,15.542000000000002,91.86,7.9799999999999995
1273.41,325.7873333333333,82.944,15.788,95.06400000000001,4.792
1273.42,307.9,,,,
1273.43,330.69025,82.4175,16.34725,95.312,4.5272499999999996
1273.45,308.0,,,,
1273.48,307.5,,,,
1273.49,304.7,,,,
1273.51,302.1,,,,
1273.52,301.9,,,,
1273.57,327.942,83.306,15.390000000000004,92.224,7.622
1273.61,292.3,,,,
1273.62,301.1,,,,
1273.63,308.1,,,,
1273.65,277.9,,,,
1273.66,301.5,,,,
1273.67,280.0,,,,
1273.69,308.4,,,,
1273.7,280.8,,,,
1273.71,292.65,,,,
1273.73,307.8,,,,
1273.77,284.95000000000005,,,,
1273.78,267.6,,,,
1273.84,283.1,,,,
1273.85,275.4,,,,
1273.87,275.5,,,,
1273.89,276.7,,,,
1273.9,240.0,,,,
1273.98,274.5,,,,
1274.02,272.2,,,,
1274.03,260.25,,,,
1274.05,274.5,,,,
1274.06,266.6,,,,
1274.08,285.0,,,,
1274.11,237.4,,,,
1274.12,257.6,,,,
1274.19,246.1,,,,
1274.23,265.5,,,,
1274.44,268.0,,,,
1274.47,258.5,,,,
1274.56,262.25,,,,
1274.57,254.76666666666665,,,,
1274.58,254.1,,,,
1274.59,251.9,,,,
1274.61,251.6,,,,
1274.69,248.8,,,,
1274.8,243.6,,,,
1275.05,251.0,,,,
1275.29,251.0,86.56025908,11.82049503,94.42941122,5.45861715
1275.56,210.0,,,,
1275.57,209.65,,,,
1275.59,210.2,,,,
1275.73,196.4,,,,
1275.9,187.2,,,,
1275.93,235.0,86.35905194,11.90115986,94.13145240000001,5.7397227079999995
1276.05,182.3,,,,
1276.2,176.9,,,,
1276.35,201.7,87.47773921,11.17771112,,
1276.39,173.2,,,,
1276.49,188.85,,,,
1276.51,201.83333333333334,,,,
1276.52,209.8,,,,
1276.79,196.4,,,,
1277.04,202.4,,,,
1277.06,199.4,,,,
1277.07,192.4333333333333,,,,
1277.12,193.8,,,,
1277.23,182.3,,,,
1277.27,185.3,,,,
1277.38,188.1,,,,
1277.39,183.45,,,,
1277.4,188.8,,,,
1277.42,177.7,,,,
1277.43,176.9,,,,
1277.44,172.3,,,,
1277.49,185.4,,,,
1277.5,182.2,,,,
1277.51,171.9,,,,
1277.56,165.6,,,,
1277.58,168.2,,,,
1277.62,173.2,,,,
1277.65,172.45,,,,
1277.66,172.5,,,,
1277.69,178.1,,,,
1277.71,174.2,,,,
1277.72,173.35000000000002,,,,
1277.73,178.1,,,,
1277.76,158.1,,,,
1277.82,167.8,,,,
1277.85,170.2,,,,
1277.9,162.6,,,,
1277.92,163.3,,,,
1277.95,167.0,,,,
1278.06,167.8,,,,
1278.14,162.6,,,,
1278.17,152.6,,,,
1278.23,156.4,,,,
1278.24,156.0,,,,
1278.29,156.9,,,,
1278.39,152.8,,,,
